source,idColName,iden,text,startByte,endByte,pdncID
exp,exp_name,mrs. pontellier,Mrs. Pontellier,20834,20849,3
exp,exp_name,edna pontellier,Edna Pontellier,21112,21127,3
exp,exp_name,madame ratignolle,Madame Ratignolle,21166,21183,0
exp,exp_name,monsieur farival,Monsieur Farival,21200,21216,11
exp,exp_name,robert,Robert,21479,21485,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,21869,21884,3
exp,exp_name,madame ratignolle,Madame Ratignolle,22029,22046,0
exp,exp_name,robert,Robert,22156,22162,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,22167,22182,3
booknlp,COREF,53,He,22317,22319,15
exp,exp_name,robert,Robert,22422,22428,15
booknlp,COREF,53,himself,22442,22449,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,22453,22468,3
booknlp,COREF,53,he,22474,22476,15
exp,exp_name,robert,Robert,22543,22549,15
booknlp,COREF,53,himself,22592,22599,15
booknlp,COREF,53,he,22785,22787,15
exp,exp_name,robert,Robert,22881,22887,15
booknlp,COREF,53,himself,22926,22933,15
exp,exp_name,madame ratignolle,Madame Ratignolle,22949,22966,0
exp,exp_name,mrs. pontellier,Mrs. Pontellier,23047,23062,3
exp,exp_name,robert,Robert,23224,23230,15
pdnc,qID,Q10-1,She,23233,23236,0
booknlp,COREF,53,I,23247,23248,15
pdnc,qID,Q10-1,her,23256,23259,0
pdnc,qID,Q10-1,she,23270,23273,0
booknlp,COREF,53,me,23278,23280,15
pdnc,qID,Q10-1,her,23287,23290,0
exp,exp_name,robert,Robert,23300,23306,15
booknlp,COREF,53,my,23380,23382,15
booknlp,COREF,53,I,23405,23406,15
booknlp,COREF,53,me,23453,23455,15
booknlp,COREF,53,I,23462,23463,15
pdnc,qID,Q11-0,You,23508,23511,15
pdnc,qID,Q12-0,You,23572,23575,0
pdnc,qID,Q12-0,Ratignolle,23622,23632,0
exp,exp_name,robert,Robert,24039,24045,15
exp,exp_name,mr. pontellier,Mrs Pontellier,24058,24072,5
booknlp,COREF,53,his,24095,24098,15
exp,exp_name,madame ratignolle,Madame Ratignolle,24129,24146,0
booknlp,COREF,53,he,24220,24222,15
booknlp,COREF,53,his,24228,24231,15
booknlp,COREF,53,He,24361,24363,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,24415,24430,3
booknlp,COREF,53,he,24607,24609,15
exp,exp_name,madame ratignolle,Madame Ratignolle,24644,24661,0
exp,exp_name,mrs. pontellier,Mrs. Pontellier,24709,24724,3
booknlp,COREF,53,he,24734,24736,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,24831,24846,3
exp,exp_name,madame ratignolle,Madame Ratignolle,25084,25101,0
exp,exp_name,robert,Robert,25280,25286,15
booknlp,COREF,53,himself,25311,25318,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,25339,25354,3
booknlp,COREF,53,he,25361,25363,15
exp,exp_name,robert,Robert,25531,25537,15
booknlp,COREF,53,he,25655,25657,15
exp,exp_name,madame ratignolle,Madame Ratignolle,25671,25688,0
booknlp,COREF,53,his,25769,25772,15
booknlp,COREF,53,he,25793,25795,15
booknlp,COREF,53,his,25816,25819,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,25833,25848,3
booknlp,COREF,53,him,25879,25882,15
booknlp,COREF,53,he,25895,25897,15
booknlp,COREF,53,his,25974,25977,15
booknlp,COREF,53,him,26081,26084,15
booknlp,COREF,53,He,26105,26107,15
exp,exp_name,madame ratignolle,Madame Ratignolle,26173,26190,0
exp,exp_name,mrs. pontellier,Mrs. Pontellier,26334,26349,3
exp,exp_name,mrs. pontellier,Mrs. Pontellier,26641,26656,3
exp,exp_name,madame ratignolle,Madame Ratignolle,27309,27326,0
exp,exp_name,mrs. pontellier,Mrs. Pontellier,27473,27488,3
exp,exp_name,madame ratignolle,Madame Ratignolle,27538,27555,0
exp,exp_name,robert,Robert,27583,27589,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,27658,27673,3
exp,exp_name,the doctor,the doctor,28192,28202,2
pdnc,qID,Q16-0,you,28253,28256,3
exp,exp_name,robert,Robert,28279,28285,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,28289,28304,3
booknlp,COREF,53,his,28454,28457,15
booknlp,COREF,53,he,28571,28573,15
pdnc,qID,Q18-1,You,28585,28588,3
pdnc,qID,Q18-1,your,28602,28606,3
pdnc,qID,Q18-1,you,28668,28671,3
booknlp,COREF,53,He,28681,28683,15
exp,exp_name,edna pontellier,Edna Pontellier,28921,28936,3
exp,exp_name,robert,Robert,28994,29000,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,29469,29484,3
exp,exp_name,mrs. pontellier,Mrs. Pontellier,30364,30379,3
exp,exp_name,ratignolle,Ratignolle,30972,30982,0
exp,exp_name,edna,Edna,31056,31060,3
exp,exp_name,edna,Edna,31506,31510,3
exp,exp_name,madame ratignolle,Madame Ratignolle,31530,31547,0
exp,exp_name,robert,Robert,31777,31783,15
exp,exp_name,madame ratignolle,Madame Ratignolle,32268,32285,0
exp,exp_name,edna pontellier,Edna Pontellier,32349,32364,3
exp,exp_name,edna pontellier,Edna Pontellier,32848,32863,3
exp,exp_name,madame ratignolle,Madame Ratignolle,33201,33218,0
exp,exp_name,lebrun,Lebrun,33776,33782,15
exp,exp_name,pontellier,Pontellier,34073,34083,5
exp,exp_name,ratignolle,Ratignolle,34088,34098,0
exp,exp_name,mrs. pontellier,Mrs. Pontellier,34155,34170,3
exp,exp_name,madame ratignolle,Madame Ratignolle,34589,34606,0
exp,exp_name,edna,Edna,34797,34801,3
exp,exp_name,madame ratignolle,Madame Ratignolle,34879,34896,0
exp,exp_name,edna pontellier,Edna Pontellier,35618,35633,3
pdnc,qID,Q19-0,you,35988,35991,3
exp,exp_name,mrs. pontellier,Mrs. Pontellier,36240,36255,3
exp,exp_name,madame ratignolle,Madame Ratignolle,36634,36651,0
pdnc,qID,Q22-1,you,36693,36696,3
exp,exp_name,edna,Edna,36816,36820,3
pdnc,qID,Q24-0,you,37391,37394,3
pdnc,qID,Q27-0,you,37965,37968,3
pdnc,qID,Q27-0,ma ch re,38013,38021,3
exp,exp_name,madame ratignolle,Madame Ratignolle,38031,38048,0
exp,exp_name,edna,Edna,38073,38077,3
pdnc,qID,Q28-1,you,38411,38414,0
exp,exp_name,madame ratignolle,Madame Ratignolle,38465,38482,0
exp,exp_name,madame ratignolle,Madame Ratignolle,38701,38718,0
exp,exp_name,mrs. pontellier,Mrs. Pontellier,38746,38761,3
pdnc,qID,Q29-0,Pauvre ch rie,38945,38958,3
exp,exp_name,edna,Edna,39009,39013,3
exp,exp_name,edna,Edna,39527,39531,3
exp,exp_name,edna,Edna,39893,39897,3
exp,exp_name,edna,Edna,40050,40054,3
exp,exp_name,edna,Edna,40962,40966,3
exp,exp_name,pontellier,Pontellier,41986,41996,5
exp,exp_name,pontellier,Pontellier,42652,42662,5
exp,exp_name,edna,Edna,43118,43122,3
exp,exp_name,pontellier,Pontellier,43591,43601,5
exp,exp_name,edna,Edna,43931,43935,3
exp,exp_name,madame ratignolle,Madame Ratignolle,43974,43991,0
exp,exp_name,madame ratignolle,Madame Ratignolle,44116,44133,0
exp,exp_name,robert,Robert,44365,44371,15
booknlp,COREF,53,him,44465,44468,15
booknlp,COREF,53,he,44474,44476,15
exp,exp_name,madame ratignolle,Madame Ratignolle,44485,44502,0
booknlp,COREF,53,his,44520,44523,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,44717,44732,3
exp,exp_name,mrs. pontellier,Mrs. Pontellier,45070,45085,3
exp,exp_name,madame ratignolle,Madame Ratignolle,45111,45128,0
exp,exp_name,robert,Robert,45136,45142,15
booknlp,COREF,53,his,45267,45270,15
pdnc,qID,Q30-0,Robert,45314,45320,15
booknlp,COREF,53,his,45349,45352,15
exp,exp_name,robert,Robert,45385,45391,15
booknlp,COREF,53,his,45447,45450,15
booknlp,COREF,53,his,45468,45471,15
booknlp,COREF,53,he,45528,45530,15
pdnc,qID,Q31-0,you,45565,45568,0
booknlp,COREF,53,he,45576,45578,15
pdnc,qID,Q32-0,Mrs. Pontellier,45698,45713,3
booknlp,COREF,53,he,45734,45736,15
pdnc,qID,Q33-1,Madame Ratignolle,45789,45806,0
pdnc,qID,Q34-0,Mrs. Pontellier,45873,45888,3
booknlp,COREF,53,he,45905,45907,15
booknlp,COREF,53,himself,45915,45922,15
booknlp,COREF,53,his,45942,45945,15
pdnc,qID,Q36-0,She,45974,45977,3
pdnc,qID,Q36-0,she,45996,45999,3
pdnc,qID,Q36-0,She,46016,46019,3
pdnc,qID,Q36-0,you,46065,46068,15
booknlp,COREF,53,His,46082,46085,15
booknlp,COREF,53,his,46130,46133,15
booknlp,COREF,53,he,46143,46145,15
booknlp,COREF,53,his,46183,46186,15
booknlp,COREF,53,he,46194,46196,15
pdnc,qID,Q37-0,she,46220,46223,3
booknlp,COREF,53,me,46229,46231,15
booknlp,COREF,53,he,46244,46246,15
booknlp,COREF,53,I,46269,46270,15
pdnc,qID,Q37-1,she,46325,46328,3
booknlp,COREF,53,You,46330,46333,15
booknlp,COREF,53,I,46343,46344,15
booknlp,COREF,53,you,46367,46370,15
booknlp,COREF,53,I,46375,46376,15
booknlp,COREF,53,I,46437,46438,15
pdnc,qID,Q37-1,Mrs. Pontellier,46444,46459,3
booknlp,COREF,53,me,46470,46472,15
booknlp,COREF,53,I,46484,46485,15
pdnc,qID,Q37-1,she,46491,46494,3
booknlp,COREF,53,me,46529,46531,15
booknlp,COREF,53,I,46569,46570,15
pdnc,qID,Q38-0,Robert,46615,46621,15
booknlp,COREF,53,his,46639,46642,15
pdnc,qID,Q38-1,You,46661,46664,15
pdnc,qID,Q38-1,you,46690,46693,15
pdnc,qID,Q38-1,You,46706,46709,15
pdnc,qID,Q38-1,your,46829,46833,15
pdnc,qID,Q38-1,you,46929,46932,15
pdnc,qID,Q38-1,you,46972,46975,15
pdnc,qID,Q38-1,you,46987,46990,15
pdnc,qID,Q38-1,you,47072,47075,15
exp,exp_name,madame ratignolle,Madame Ratignolle,47079,47096,0
pdnc,qID,Q40-0,You,47283,47286,0
pdnc,qID,Q42-0,you,47480,47483,15
pdnc,qID,Q42-1,Arobin,47558,47564,1
booknlp,COREF,53,you,47565,47568,15
pdnc,qID,Q42-1,Alc e Arobin,47578,47590,1
exp,exp_name,arobin,Arobin,47673,47679,1
exp,exp_name,mrs. pontellier,Mrs. Pontellier,47856,47871,3
exp,exp_name,madame ratignolle,Madame Ratignolle,47958,47975,0
exp,exp_name,robert,Robert,48095,48101,15
booknlp,COREF,53,he,48139,48141,15
booknlp,COREF,53,he,48172,48174,15
pdnc,qID,Q43-0,You,48214,48217,0
pdnc,qID,Q43-0,Ad le,48236,48241,0
booknlp,COREF,53,he,48244,48246,15
pdnc,qID,Q44-0,Mrs. Pontellier,48309,48324,3
booknlp,COREF,53,me,48337,48339,15
pdnc,qID,Q44-0,You,48351,48354,0
booknlp,COREF,53,me,48374,48376,15
booknlp,COREF,53,myself,48392,48398,15
pdnc,qID,Q44-0,Your,48410,48414,0
booknlp,COREF,53,me,48468,48470,15
pdnc,qID,Q44-0,you,48517,48520,0
booknlp,COREF,53,he,48534,48536,15
pdnc,qID,Q44-1,you,48565,48568,0
booknlp,COREF,53,I,48599,48600,15
pdnc,qID,Q44-1,you,48606,48609,0
booknlp,COREF,53,me,48623,48625,15
pdnc,qID,Q44-1,you,48630,48633,0
booknlp,COREF,53,He,48748,48750,15
booknlp,COREF,53,himself,48756,48763,15
booknlp,COREF,53,he,48865,48867,15
booknlp,COREF,53,himself,48868,48875,15
booknlp,COREF,53,his,49085,49088,15
booknlp,COREF,53,him,49105,49108,15
booknlp,COREF,53,he,49109,49111,15
exp,exp_name,robert,Robert,49150,49156,15
exp,exp_name,mrs. pontellier,Mrs. Pontellier,49598,49613,3
exp,exp_name,robert,Robert,49632,49638,15
exp,exp_name,madame lebrun,Madame Lebrun,50042,50055,6
exp,exp_name,robert,Robert,50281,50287,15
booknlp,COREF,53,himself,50309,50316,15
booknlp,COREF,53,He,50365,50367,15
booknlp,COREF,53,his,50385,50388,15
booknlp,COREF,53,he,50482,50484,15
exp,exp_name,robert,Robert,50613,50619,15
booknlp,COREF,53,his,50624,50627,15
pdnc,qID,Q45-0,Mrs. Pontellier,50688,50703,3
pdnc,qID,Q47-0,her,50767,50770,3
pdnc,qID,Q47-0,you,50819,50822,15
pdnc,qID,Q48-0,Victor,50958,50964,18
pdnc,qID,Q49-0,Victor,51007,51013,18
pdnc,qID,Q50-0,He,51044,51046,18
pdnc,qID,Q51-0,him,51106,51109,18
exp,exp_name,robert,Robert,51131,51137,15
pdnc,qID,Q52-0,He,51222,51224,18
exp,exp_name,madame lebrun,Madame Lebrun,51242,51255,6
pdnc,qID,Q53-0,Victor,51288,51294,18
exp,exp_name,madame lebrun,Madame Lebrun,51424,51437,6
exp,exp_name,victor,Victor,51488,51494,18
pdnc,qID,Q54-0,you,51628,51631,6
pdnc,qID,Q54-0,him,51691,51694,18
pdnc,qID,Q54-0,he,51700,51702,18
pdnc,qID,Q55-0,your,51725,51729,15
exp,exp_name,madame lebrun,Madame Lebrun,51823,51836,6
exp,exp_name,lebrun,Lebrun,51987,51993,15
pdnc,qID,Q56-0,you,52080,52083,6
exp,exp_name,lebrun,Lebrun,52236,52242,15
exp,exp_name,lebrun,Lebrun,52272,52278,15
booknlp,COREF,78,He,52440,52442,18
pdnc,qID,Q58-0,you,52456,52459,15
booknlp,COREF,78,he,52460,52462,18
pdnc,qID,Q59-0,you,52540,52543,15
booknlp,COREF,78,him,52580,52583,18
pdnc,qID,Q60-0,you,52628,52631,6
pdnc,qID,Q60-0,mother,52651,52657,6
pdnc,qID,Q60-0,You,52659,52662,6
pdnc,qID,Q61-0,you,52711,52714,15
pdnc,qID,Q61-0,Mrs. Pontellier,52719,52734,3
pdnc,qID,Q61-0,She,52768,52771,3
pdnc,qID,Q61-0,She,52807,52810,3
pdnc,qID,Q62-0,you,52902,52905,15
pdnc,qID,Q63-0,you,52926,52929,6
exp,exp_name,robert,Robert,53573,53579,15
exp,exp_name,madame ratignolle,Madame Ratignolle,53584,53601,0
exp,exp_name,madame lebrun,Madame Lebrun,53804,53817,6
exp,exp_name,mr. pontellier,Mr. Pontellier,54365,54379,5
exp,exp_name,pontellier,Pontellier,54409,54419,5
exp,exp_name,monsieur farival,Monsieur Farival,55307,55323,11
exp,exp_name,victor lebrun,Victor Lebrun,55469,55482,18
booknlp,COREF,78,his,55497,55500,18
exp,exp_name,madame ratignolle,Madame Ratignolle,56580,56597,0
exp,exp_name,victor,Victor,57655,57661,18
exp,exp_name,victor,Victor,57877,57883,18
booknlp,COREF,78,his,57897,57900,18
exp,exp_name,mrs. pontellier,Mrs. Pontellier,58001,58016,3
exp,exp_name,robert,Robert,58062,58068,15
exp,exp_name,ratignolle,Ratignolle,58093,58103,0
pdnc,qID,Q64-0,you,58505,58508,3
pdnc,qID,Q64-0,Mademoiselle Reisz,58522,58540,7
exp,exp_name,robert,Robert,58554,58560,15
exp,exp_name,edna,Edna,58611,58615,3
exp,exp_name,mademoiselle reisz,Mademoiselle Reisz,58635,58653,7
booknlp,COREF,53,I,58713,58714,15
pdnc,qID,Q65-0,her,58722,58725,7
booknlp,COREF,53,he,58728,58730,15
booknlp,COREF,53,I,58738,58739,15
pdnc,qID,Q65-1,her,58748,58751,7
pdnc,qID,Q65-1,you,58757,58760,3
pdnc,qID,Q65-1,her,58774,58777,7
pdnc,qID,Q65-1,She,58779,58782,7
pdnc,qID,Q65-1,you,58789,58792,3
pdnc,qID,Q65-1,She,58794,58797,7
booknlp,COREF,53,He,58810,58812,15
exp,exp_name,mademoiselle reisz,Mademoiselle Reisz,58871,58889,7
exp,exp_name,robert,Robert,59277,59283,15
booknlp,COREF,53,him,59364,59367,15
pdnc,qID,Q66-0,Mrs. Pontellier,59684,59699,3
pdnc,qID,Q66-0,she,59705,59708,3
exp,exp_name,robert,Robert,59755,59761,15
exp,exp_name,robert,Robert,59834,59840,15
exp,exp_name,edna,Edna,59864,59868,3
exp,exp_name,edna,Edna,60060,60064,3
exp,exp_name,mademoiselle reisz,Mademoiselle Reisz,60203,60221,7
booknlp,COREF,84,herself,60235,60242,7
booknlp,COREF,84,her,60246,60249,7
exp,exp_name,edna,Edna,60263,60267,3
exp,exp_name,madame ratignolle,Madame Ratignolle,60447,60464,0
exp,exp_name,edna,Edna,60519,60523,3
exp,exp_name,mademoiselle reisz,Mademoiselle Reisz,61221,61239,7
exp,exp_name,mrs. pontellier,Mrs. Pontellier,61286,61301,3
booknlp,COREF,84,Mademoiselle,61901,61913,7
exp,exp_name,edna,Edna,62072,62076,3
pdnc,qID,Q67-0,you,62112,62115,3
exp,exp_name,mademoiselle reisz,Mademoiselle Reisz,62231,62249,7
booknlp,COREF,84,She,62294,62297,7
booknlp,COREF,84,she,62336,62339,7
pdnc,qID,Q68-0,You,62348,62351,3
booknlp,COREF,84,she,62412,62415,7
booknlp,COREF,84,her,62470,62473,7
booknlp,COREF,84,she,62485,62488,7
booknlp,COREF,84,Her,62524,62527,7
booknlp,COREF,84,I,62606,62607,7
exp,exp_name,mademoiselle reisz,Mademoiselle Reisz,62655,62673,7
exp,exp_name,robert,Robert,62823,62829,15
exp,exp_name,robert,Robert,62915,62921,15
booknlp,COREF,53,he,63020,63022,15
booknlp,COREF,53,He,63036,63038,15
booknlp,COREF,53,he,63070,63072,15
booknlp,COREF,53,he,63095,63097,15
booknlp,COREF,53,himself,63098,63105,15
booknlp,COREF,53,He,63207,63209,15
booknlp,COREF,53,himself,63306,63313,15
exp,exp_name,edna,Edna,63413,63417,3
exp,exp_name,robert,Robert,63429,63435,15
booknlp,COREF,53,he,63487,63489,15
booknlp,COREF,53,he,63513,63515,15
booknlp,COREF,53,him,63549,63552,15
booknlp,COREF,53,he,63569,63571,15
booknlp,COREF,53,his,63635,63638,15
