exp_name,text,start_byte,end_byte,pdncID
alexis ivanovitch,Alexis Ivanovitch,179732,179749,4
alexis ivanovitch,Alexis Ivanovitch,187961,187978,4
alexis ivanovitch,Alexis Ivanovitch,189549,189566,4
alexis ivanovitch,Alexis Ivanovitch,191065,191082,4
alexis ivanovitch,Alexis Ivanovitch,201830,201847,4
alexis ivanovitch,Alexis Ivanovitch,207185,207202,4
alexis ivanovitch,Alexis Ivanovitch,208653,208670,4
alexis ivanovitch,Alexis Ivanovitch,214112,214129,4
alexis ivanovitch,Alexis Ivanovitch,215603,215620,4
alexis ivanovitch,Alexis Ivanovitch,237291,237308,4
alexis ivanovitch,Alexis Ivanovitch,241050,241067,4
alexis ivanovitch,Alexis Ivanovitch,242221,242238,4
baron burmergelm,Baron Burmergelm,80806,80822,14
baron burmergelm,Baron Burmergelm,119311,119327,14
the grandmother,the grandmother,43121,43136,5
the grandmother,the grandmother,59690,59705,5
the grandmother,the Grandmother,130823,130838,5
the grandmother,the Grandmother,132293,132308,5
the grandmother,the Grandmother,133480,133495,5
the grandmother,the Grandmother,133735,133750,5
the grandmother,the Grandmother,134109,134124,5
the grandmother,the Grandmother,134406,134421,5
the grandmother,the Grandmother,134512,134527,5
the grandmother,the Grandmother,134713,134728,5
the grandmother,the Grandmother,134967,134982,5
the grandmother,the Grandmother,136885,136900,5
the grandmother,the Grandmother,136975,136990,5
the grandmother,the Grandmother,137651,137666,5
the grandmother,the Grandmother,141516,141531,5
the grandmother,the Grandmother,142534,142549,5
the grandmother,the Grandmother,144418,144433,5
the grandmother,the Grandmother,145161,145176,5
the grandmother,The Grandmother,145673,145688,5
the grandmother,the Grandmother,145934,145949,5
the grandmother,the Grandmother,147800,147815,5
the grandmother,the Grandmother,149646,149661,5
the grandmother,the Grandmother,150680,150695,5
the grandmother,the Grandmother,152503,152518,5
the grandmother,the Grandmother,155233,155248,5
the grandmother,the Grandmother,156337,156352,5
the grandmother,the Grandmother,157007,157022,5
the grandmother,The Grandmother,157384,157399,5
the grandmother,the Grandmother,160221,160236,5
the grandmother,the Grandmother,161481,161496,5
the grandmother,the Grandmother,163053,163068,5
the grandmother,The Grandmother,164933,164948,5
the grandmother,The Grandmother,165502,165517,5
the grandmother,The Grandmother,165769,165784,5
the grandmother,The Grandmother,167399,167414,5
the grandmother,the Grandmother,167628,167643,5
the grandmother,the Grandmother,168365,168380,5
the grandmother,The Grandmother,169457,169472,5
the grandmother,the Grandmother,170933,170948,5
the grandmother,the Grandmother,172036,172051,5
the grandmother,the Grandmother,172908,172923,5
the grandmother,the Grandmother,173846,173861,5
the grandmother,the Grandmother,174187,174202,5
the grandmother,the Grandmother,175661,175676,5
the grandmother,the Grandmother,176233,176248,5
the grandmother,the grandmother,177476,177491,5
the grandmother,the Grandmother,177918,177933,5
the grandmother,the Grandmother,178756,178771,5
the grandmother,the Grandmother,179991,180006,5
the grandmother,the Grandmother,180273,180288,5
the grandmother,the Grandmother,180693,180708,5
the grandmother,the Grandmother,181382,181397,5
the grandmother,the Grandmother,181646,181661,5
the grandmother,the Grandmother,181820,181835,5
the grandmother,the Grandmother,182093,182108,5
the grandmother,the Grandmother,191649,191664,5
the grandmother,The Grandmother,192265,192280,5
the grandmother,the Grandmother,193357,193372,5
the grandmother,the Grandmother,193908,193923,5
the grandmother,the Grandmother,194045,194060,5
the grandmother,the Grandmother,194912,194927,5
the grandmother,The Grandmother,195146,195161,5
the grandmother,the Grandmother,195378,195393,5
the grandmother,the Grandmother,197423,197438,5
the grandmother,the Grandmother,198589,198604,5
the grandmother,the Grandmother,198920,198935,5
the grandmother,the Grandmother,199877,199892,5
the grandmother,the Grandmother,200588,200603,5
the grandmother,the Grandmother,200931,200946,5
the grandmother,the Grandmother,201351,201366,5
the grandmother,the Grandmother,201631,201646,5
the grandmother,the Grandmother,202179,202194,5
the grandmother,the Grandmother,203936,203951,5
the grandmother,the Grandmother,204081,204096,5
the grandmother,the Grandmother,204550,204565,5
the grandmother,the Grandmother,204893,204908,5
the grandmother,the Grandmother,205834,205849,5
the grandmother,the Grandmother,206065,206080,5
the grandmother,the Grandmother,207800,207815,5
the grandmother,the Grandmother,207951,207966,5
the grandmother,the Grandmother,208005,208020,5
the grandmother,the Grandmother,208886,208901,5
the grandmother,the Grandmother,209121,209136,5
the grandmother,the Grandmother,209572,209587,5
the grandmother,the Grandmother,213445,213460,5
the grandmother,the Grandmother,213900,213915,5
the grandmother,the Grandmother,214328,214343,5
the grandmother,The Grandmother,215482,215497,5
the grandmother,the Grandmother,216330,216345,5
the grandmother,the Grandmother,216415,216430,5
the grandmother,the Grandmother,216724,216739,5
the grandmother,the Grandmother,221452,221467,5
the grandmother,the Grandmother,222271,222286,5
the grandmother,the Grandmother,222939,222954,5
the grandmother,the Grandmother,223698,223713,5
the grandmother,the Grandmother,224043,224058,5
the grandmother,the Grandmother,224303,224318,5
the grandmother,the Grandmother,224797,224812,5
the grandmother,the Grandmother,225977,225992,5
the grandmother,the Grandmother,226300,226315,5
the grandmother,the Grandmother,226776,226791,5
the grandmother,the Grandmother,226847,226862,5
the grandmother,the Grandmother,227066,227081,5
the grandmother,the Grandmother,227308,227323,5
the grandmother,the Grandmother,228152,228167,5
the grandmother,the Grandmother,229025,229040,5
the grandmother,the Grandmother,231550,231565,5
the grandmother,the Grandmother,235261,235276,5
the grandmother,the Grandmother,238301,238316,5
the grandmother,the Grandmother,239097,239112,5
the grandmother,the Grandmother,240683,240698,5
the grandmother,the Grandmother,241952,241967,5
the grandmother,the Grandmother,242246,242261,5
the grandmother,the Grandmother,243583,243598,5
the grandmother,the Grandmother,249084,249099,5
the grandmother,the Grandmother,253328,253343,5
the grandmother,the Grandmother,304168,304183,5
the grandmother,the Grandmother,321617,321632,5
the grandmother,the Grandmother,321849,321864,5
the frenchman,the Frenchman,3473,3486,8
the frenchman,the Frenchman,3932,3945,8
the frenchman,the Frenchman,5994,6007,8
the frenchman,the Frenchman,6918,6931,8
the frenchman,the Frenchman,7792,7805,8
the frenchman,the Frenchman,8236,8249,8
the frenchman,the Frenchman,11088,11101,8
the frenchman,the Frenchman,11873,11886,8
the frenchman,The Frenchman,12097,12110,8
the frenchman,the Frenchman,12471,12484,8
the frenchman,the Frenchman,15637,15650,8
the frenchman,the Frenchman,15671,15684,8
the frenchman,the Frenchman,16021,16034,8
the frenchman,the Frenchman,16196,16209,8
the frenchman,the Frenchman,32470,32483,8
the frenchman,The Frenchman,37712,37725,8
the frenchman,the Frenchman,37813,37826,8
the frenchman,the Frenchman,38529,38542,8
the frenchman,the Frenchman,39186,39199,8
the frenchman,the Frenchman,39794,39807,8
the frenchman,the Frenchman,39971,39984,8
the frenchman,the Frenchman,49265,49278,8
the frenchman,the Frenchman,49480,49493,8
the frenchman,the Frenchman,50842,50855,8
the frenchman,the Frenchman,51002,51015,8
the frenchman,the Frenchman,51460,51473,8
the frenchman,the Frenchman,52443,52456,8
the frenchman,the Frenchman,52888,52901,8
the frenchman,The Frenchman,57512,57525,8
the frenchman,the Frenchman,58767,58780,8
the frenchman,the Frenchman,63208,63221,8
the frenchman,The Frenchman,64461,64474,8
the frenchman,the Frenchman,64762,64775,8
the frenchman,The Frenchman,64877,64890,8
the frenchman,The Frenchman,70434,70447,8
the frenchman,the Frenchman,82352,82365,8
the frenchman,the Frenchman,87115,87128,8
the frenchman,The Frenchman,87208,87221,8
the frenchman,The Frenchman,95675,95688,8
the frenchman,the Frenchman,96729,96742,8
the frenchman,the Frenchman,97257,97270,8
the frenchman,the Frenchman,103672,103685,8
the frenchman,the Frenchman,110068,110081,8
the frenchman,the Frenchman,110281,110294,8
the frenchman,the Frenchman,114631,114644,8
the frenchman,the Frenchman,124253,124266,8
the frenchman,The Frenchman,214842,214855,8
the frenchman,the Frenchman,235763,235776,8
the frenchman,the Frenchman,323589,323602,8
the frenchman,the Frenchman,324139,324152,8
mlle. blanche,Mlle. Blanche,3396,3409,7
mlle. blanche,Mlle. Blanche,3892,3905,7
mlle. blanche,Mlle. Blanche,4051,4064,7
mlle. blanche,Mlle. Blanche,17557,17570,7
mlle. blanche,Mlle. Blanche,17677,17690,7
mlle. blanche,Mlle. Blanche,17850,17863,7
mlle. blanche,Mlle. Blanche,38777,38790,7
mlle. blanche,Mlle. Blanche,38846,38859,7
mlle. blanche,Mlle. Blanche,39649,39662,7
mlle. blanche,Mlle. Blanche,40154,40167,7
mlle. blanche,Mlle. Blanche,40378,40391,7
mlle. blanche,Mlle. Blanche,40821,40834,7
mlle. blanche,Mlle. Blanche,41082,41095,7
mlle. blanche,Mlle. Blanche,43151,43164,7
mlle. blanche,Mlle. Blanche,44693,44706,7
mlle. blanche,Mlle. Blanche,49247,49260,7
mlle. blanche,Mlle. Blanche,59082,59095,7
mlle. blanche,Mlle. Blanche,92245,92258,7
mlle. blanche,Mlle. Blanche,100166,100179,7
mlle. blanche,Mlle. Blanche,100199,100212,7
mlle. blanche,Mlle. Blanche,114944,114957,7
mlle. blanche,Mlle. Blanche,115300,115313,7
mlle. blanche,Mlle. Blanche,115354,115367,7
mlle. blanche,Mlle. Blanche,115543,115556,7
mlle. blanche,Mlle. Blanche,115769,115782,7
mlle. blanche,Mlle. Blanche,115918,115931,7
mlle. blanche,Mlle. Blanche,116611,116624,7
mlle. blanche,Mlle. Blanche,117123,117136,7
mlle. blanche,Mlle. Blanche,121137,121150,7
mlle. blanche,Mlle. Blanche,121303,121316,7
mlle. blanche,Mlle. Blanche,121538,121551,7
mlle. blanche,Mlle. Blanche,122344,122357,7
mlle. blanche,Mlle. Blanche,122467,122480,7
mlle. blanche,Mlle. Blanche,131856,131869,7
mlle. blanche,Mlle. Blanche,132773,132786,7
mlle. blanche,Mlle. Blanche,133257,133270,7
mlle. blanche,Mlle. Blanche,134069,134082,7
mlle. blanche,Mlle. Blanche,135870,135883,7
mlle. blanche,Mlle. Blanche,136560,136573,7
mlle. blanche,Mlle. Blanche,136683,136696,7
mlle. blanche,Mlle. Blanche,144669,144682,7
mlle. blanche,Mlle. Blanche,155135,155148,7
mlle. blanche,Mlle. Blanche,156554,156567,7
mlle. blanche,Mlle. Blanche,161631,161644,7
mlle. blanche,Mlle. Blanche,174325,174338,7
mlle. blanche,Mlle. Blanche,175884,175897,7
mlle. blanche,Mlle. Blanche,175955,175968,7
mlle. blanche,Mlle. Blanche,178414,178427,7
mlle. blanche,Mlle. Blanche,180983,180996,7
mlle. blanche,Mlle. Blanche,181002,181015,7
mlle. blanche,Mlle. Blanche,186689,186702,7
mlle. blanche,Mlle. Blanche,187172,187185,7
mlle. blanche,Mlle. Blanche,187660,187673,7
mlle. blanche,Mlle. Blanche,189491,189504,7
mlle. blanche,Mlle. Blanche,190199,190212,7
mlle. blanche,Mlle. Blanche,190442,190455,7
mlle. blanche,Mlle. Blanche,191445,191458,7
mlle. blanche,Mlle. Blanche,198818,198831,7
mlle. blanche,Mlle. Blanche,203332,203345,7
mlle. blanche,Mlle. Blanche,207752,207765,7
mlle. blanche,Mlle. Blanche,208286,208299,7
mlle. blanche,Mlle. Blanche,209420,209433,7
mlle. blanche,Mlle. Blanche,228729,228742,7
mlle. blanche,Mlle. Blanche,229884,229897,7
mlle. blanche,Mlle. Blanche,230468,230481,7
mlle. blanche,Mlle. Blanche,237968,237981,7
mlle. blanche,Mlle. Blanche,238099,238112,7
mlle. blanche,Mlle. Blanche,239037,239050,7
mlle. blanche,Mlle. Blanche,240099,240112,7
mlle. blanche,Mlle. Blanche,244159,244172,7
mlle. blanche,Mlle. Blanche,244540,244553,7
mlle. blanche,Mlle. Blanche,271230,271243,7
mlle. blanche,Mlle. Blanche,280778,280791,7
mlle. blanche,Mlle. Blanche,282335,282348,7
mlle. blanche,Mlle. Blanche,284510,284523,7
mlle. blanche,Mlle. Blanche,286696,286709,7
mlle. blanche,Mlle. Blanche,287138,287151,7
mlle. blanche,Mlle. Blanche,306428,306441,7
mlle. blanche,Mlle. Blanche,306453,306466,7
mlle. blanche,Mlle. Blanche,321741,321754,7
the nursemaid,the nursemaid,141408,141421,19
the nursemaid,the nursemaid,141673,141686,19
the nursemaid,the nursemaid,240433,240446,19
the nursemaid,the nursemaid,243913,243926,19
the nursemaid,the nursemaid,275310,275323,19
the nursemaid,The nursemaid,275658,275671,19
the baroness,the Baroness,72929,72941,6
the baroness,the Baroness,74351,74363,6
the baroness,the Baroness,76361,76373,6
the baroness,the Baroness,76469,76481,6
the baroness,the Baroness,77418,77430,6
the baroness,The Baroness,78234,78246,6
the baroness,the Baroness,79153,79165,6
the baroness,the Baroness,80901,80913,6
the baroness,the Baroness,81454,81466,6
the baroness,the Baroness,98200,98212,6
the baroness,the Baroness,98733,98745,6
the baroness,the Baroness,115646,115658,6
the baroness,the Baroness,116735,116747,6
the baroness,the Baroness,119572,119584,6
the baroness,the Baroness,120552,120564,6
the landlord,the landlord,85951,85963,18
the landlord,the landlord,125903,125915,18
the landlord,the landlord,145839,145851,18
the landlord,the landlord,147078,147090,18
the landlord,The landlord,147426,147438,18
the landlord,the landlord,147687,147699,18
the landlord,the landlord,148046,148058,18
the landlord,the landlord,148169,148181,18
the landlord,the landlord,150389,150401,18
the landlord,the landlord,150611,150623,18
the landlord,the landlord,178725,178737,18
the landlord,the landlord,186356,186368,18
the landlord,the landlord,275809,275821,18
the landlord,the landlord,276662,276674,18
the landlord,the landlord,284025,284037,18
mlle. polina,Mlle. Polina,44985,44997,12
mlle. polina,Mlle. Polina,110526,110538,12
mlle. polina,Mlle. Polina,111515,111527,12
mlle. polina,Mlle. Polina,111854,111866,12
mlle. polina,Mlle. Polina,112203,112215,12
mlle. polina,Mlle. Polina,112498,112510,12
mlle. polina,Mlle. Polina,114412,114424,12
mlle. polina,Mlle. Polina,114475,114487,12
mlle. polina,Mlle. Polina,120848,120860,12
mlle. polina,Mlle. Polina,121220,121232,12
mlle. polina,Mlle. Polina,121619,121631,12
mlle. polina,Mlle. Polina,122053,122065,12
mlle. polina,Mlle. Polina,122310,122322,12
mlle. polina,Mlle. Polina,122956,122968,12
mlle. polina,Mlle. Polina,123803,123815,12
mlle. polina,Mlle. Polina,124164,124176,12
mlle. polina,Mlle. Polina,278102,278114,12
mlle. polina,Mlle. Polina,279334,279346,12
mlle. polina,Mlle. Polina,279467,279479,12
mlle. polina,Mlle. Polina,320023,320035,12
mlle. polina,Mlle. Polina,320462,320474,12
mlle. polina,Mlle. Polina,320951,320963,12
mlle. polina,Mlle. Polina,321166,321178,12
mlle. polina,Mlle. Polina,321308,321320,12
mlle. polina,Mlle. Polina,321384,321396,12
mlle. polina,Mlle. Polina,322313,322325,12
mlle. polina,Mlle. Polina,325088,325100,12
mlle. polina,Mlle. Polina,326454,326466,12
the croupier,the croupier,31838,31850,15
the croupier,the croupier,167746,167758,15
the croupier,the croupier,168466,168478,15
the croupier,the croupier,169300,169312,15
the croupier,the croupier,170295,170307,15
the croupier,the croupier,170435,170447,15
the croupier,the croupier,170623,170635,15
the croupier,the croupier,171314,171326,15
the croupier,the croupier,172610,172622,15
the croupier,the croupier,172834,172846,15
the croupier,the croupier,173004,173016,15
the croupier,the croupier,193454,193466,15
the croupier,the croupier,195516,195528,15
the croupier,the croupier,195613,195625,15
the croupier,the croupier,205527,205539,15
the croupier,the croupier,254073,254085,15
the croupier,the croupier,254192,254204,15
the croupier,the croupier,254974,254986,15
the croupier,the croupier,255793,255805,15
the croupier,the croupier,312802,312814,15
the croupier,the croupier,312937,312949,15
the general,The General,268,279,16
the general,the General,503,514,16
the general,the General,1245,1256,16
the general,the General,1376,1387,16
the general,the General,1760,1771,16
the general,the General,2692,2703,16
the general,the General,3508,3519,16
the general,the General,3617,3628,16
the general,the General,4258,4269,16
the general,the General,4582,4593,16
the general,the General,4744,4755,16
the general,the General,5773,5784,16
the general,the General,6220,6231,16
the general,the General,6526,6537,16
the general,the general,6843,6854,16
the general,the General,6972,6983,16
the general,The General,7173,7184,16
the general,The General,7595,7606,16
the general,the General,8143,8154,16
the general,the General,10966,10977,16
the general,the General,12146,12157,16
the general,The General,12399,12410,16
the general,the General,14077,14088,16
the general,the General,14585,14596,16
the general,the General,15851,15862,16
the general,the General,17977,17988,16
the general,the General,27526,27537,16
the general,the General,32514,32525,16
the general,The General,37630,37641,16
the general,the General,38234,38245,16
the general,the General,38554,38565,16
the general,the General,38693,38704,16
the general,the General,40423,40434,16
the general,the General,42948,42959,16
the general,the General,43017,43028,16
the general,the General,49739,49750,16
the general,the General,50483,50494,16
the general,the General,52517,52528,16
the general,the General,52839,52850,16
the general,the General,53091,53102,16
the general,the General,57199,57210,16
the general,the General,58514,58525,16
the general,the General,58651,58662,16
the general,the General,58732,58743,16
the general,the General,73526,73537,16
the general,the General,73672,73683,16
the general,the General,73993,74004,16
the general,the general,77730,77741,16
the general,the General,80176,80187,16
the general,the General,80364,80375,16
the general,the General,80547,80558,16
the general,the General,81008,81019,16
the general,the General,82325,82336,16
the general,the General,86211,86222,16
the general,the General,87184,87195,16
the general,The General,87949,87960,16
the general,the General,90370,90381,16
the general,the General,90829,90840,16
the general,the General,92177,92188,16
the general,the General,94984,94995,16
the general,the General,95089,95100,16
the general,the General,95840,95851,16
the general,the General,96467,96478,16
the general,the General,97096,97107,16
the general,the General,97585,97596,16
the general,the General,97633,97644,16
the general,the General,98482,98493,16
the general,the General,98526,98537,16
the general,the General,99582,99593,16
the general,The General,99755,99766,16
the general,the General,99783,99794,16
the general,the General,100255,100266,16
the general,the General,100811,100822,16
the general,the General,100919,100930,16
the general,The General,101048,101059,16
the general,the General,102449,102460,16
the general,the General,111098,111109,16
the general,the General,113932,113943,16
the general,the General,114911,114922,16
the general,the General,120828,120839,16
the general,the General,121189,121200,16
the general,the General,121509,121520,16
the general,the General,121721,121732,16
the general,the General,122900,122911,16
the general,the General,122970,122981,16
the general,the General,123053,123064,16
the general,the General,123467,123478,16
the general,the General,123779,123790,16
the general,the General,126855,126866,16
the general,the General,127405,127416,16
the general,the General,128763,128774,16
the general,the General,129786,129797,16
the general,the General,132055,132066,16
the general,the General,132428,132439,16
the general,The General,132685,132696,16
the general,the General,133015,133026,16
the general,the General,133115,133126,16
the general,the General,133508,133519,16
the general,the General,137030,137041,16
the general,the General,137259,137270,16
the general,the General,137741,137752,16
the general,the General,139881,139892,16
the general,the General,140180,140191,16
the general,the General,140451,140462,16
the general,the General,141452,141463,16
the general,the General,143620,143631,16
the general,the General,143860,143871,16
the general,the General,144238,144249,16
the general,the General,144514,144525,16
the general,the General,144822,144833,16
the general,the general,146635,146646,16
the general,the General,148929,148940,16
the general,the General,149355,149366,16
the general,the General,149680,149691,16
the general,the General,149907,149918,16
the general,the General,150264,150275,16
the general,the General,150357,150368,16
the general,the General,150732,150743,16
the general,the General,152177,152188,16
the general,the General,153236,153247,16
the general,the General,154239,154250,16
the general,The General,154583,154594,16
the general,the General,154885,154896,16
the general,the General,156263,156274,16
the general,the General,156483,156494,16
the general,the general,158087,158098,16
the general,the General,161590,161601,16
the general,the General,173497,173508,16
the general,the General,176088,176099,16
the general,the General,176262,176273,16
the general,the General,177201,177212,16
the general,the General,177382,177393,16
the general,the General,180246,180257,16
the general,the General,180760,180771,16
the general,the General,180886,180897,16
the general,the General,181873,181884,16
the general,the General,182209,182220,16
the general,the General,184556,184567,16
the general,the General,186557,186568,16
the general,the General,186653,186664,16
the general,the General,187227,187238,16
the general,the General,187987,187998,16
the general,the General,189051,189062,16
the general,the General,189413,189424,16
the general,The General,191017,191028,16
the general,the General,198794,198805,16
the general,the General,199346,199357,16
the general,the General,199444,199455,16
the general,the General,199998,200009,16
the general,the General,203437,203448,16
the general,the General,203818,203829,16
the general,the General,207694,207705,16
the general,the General,208485,208496,16
the general,The General,208773,208784,16
the general,the General,210150,210161,16
the general,the General,228190,228201,16
the general,the General,228522,228533,16
the general,the General,229601,229612,16
the general,the General,229994,230005,16
the general,the General,230080,230091,16
the general,the General,230171,230182,16
the general,the General,232780,232791,16
the general,the General,232966,232977,16
the general,the General,236598,236609,16
the general,the General,239336,239347,16
the general,the General,240621,240632,16
the general,the General,243886,243897,16
the general,the General,244143,244154,16
the general,the General,244273,244284,16
the general,the General,244611,244622,16
the general,the general,246076,246087,16
the general,the General,248855,248866,16
the general,the General,248943,248954,16
the general,the General,249008,249019,16
the general,the general,258620,258631,16
the general,the General,271185,271196,16
the general,the General,276158,276169,16
the general,the General,279318,279329,16
the general,the General,279436,279447,16
the general,the General,280462,280473,16
the general,the General,285914,285925,16
the general,The General,285945,285956,16
the general,the General,295328,295339,16
the general,the General,295762,295773,16
the general,the General,296225,296236,16
the general,the General,300415,300426,16
the general,the General,300657,300668,16
the general,the General,301023,301034,16
the general,the General,301269,301280,16
the general,the General,303654,303665,16
the general,the General,304313,304324,16
the general,the General,306181,306192,16
the general,the General,321686,321697,16
grandmother,grandmother,13613,13624,5
grandmother,grandmother,14772,14783,5
grandmother,Grandmother,14961,14972,5
grandmother,grandmother,126171,126182,5
grandmother,Grandmother,138520,138531,5
grandmother,Grandmother,246433,246444,5
grandmother,grandmother,321323,321334,5
the lacquey,the lacquey,236487,236498,17
mr. astley,Mr. Astley,4915,4925,10
mr. astley,Mr. Astley,12505,12515,10
mr. astley,Mr. Astley,39826,39836,10
mr. astley,Mr. Astley,43558,43568,10
mr. astley,Mr. Astley,43921,43931,10
mr. astley,Mr. Astley,44416,44426,10
mr. astley,Mr. Astley,48157,48167,10
mr. astley,Mr. Astley,92941,92951,10
mr. astley,Mr. Astley,93726,93736,10
mr. astley,Mr. Astley,102786,102796,10
mr. astley,Mr. Astley,103079,103089,10
mr. astley,Mr. Astley,103263,103273,10
mr. astley,Mr. Astley,103326,103336,10
mr. astley,Mr. Astley,108423,108433,10
mr. astley,Mr. Astley,110118,110128,10
mr. astley,Mr. Astley,111495,111505,10
mr. astley,Mr. Astley,112391,112401,10
mr. astley,Mr. Astley,115170,115180,10
mr. astley,Mr. Astley,121044,121054,10
mr. astley,Mr. Astley,123508,123518,10
mr. astley,Mr. Astley,124025,124035,10
mr. astley,Mr. Astley,125395,125405,10
mr. astley,Mr. Astley,129659,129669,10
mr. astley,Mr. Astley,129696,129706,10
mr. astley,Mr. Astley,131663,131673,10
mr. astley,Mr. Astley,131889,131899,10
mr. astley,Mr. Astley,134566,134576,10
mr. astley,Mr. Astley,142086,142096,10
mr. astley,Mr. Astley,142213,142223,10
mr. astley,Mr. Astley,142410,142420,10
mr. astley,Mr. Astley,142725,142735,10
mr. astley,Mr. Astley,178572,178582,10
mr. astley,Mr. Astley,185078,185088,10
mr. astley,Mr. Astley,185208,185218,10
mr. astley,Mr. Astley,198865,198875,10
mr. astley,Mr. Astley,216602,216612,10
mr. astley,Mr. Astley,230771,230781,10
mr. astley,Mr. Astley,235795,235805,10
mr. astley,Mr. Astley,250040,250050,10
mr. astley,Mr. Astley,250593,250603,10
mr. astley,Mr. Astley,270756,270766,10
mr. astley,Mr. Astley,277025,277035,10
mr. astley,Mr. Astley,277511,277521,10
mr. astley,Mr. Astley,277994,278004,10
mr. astley,Mr. Astley,278344,278354,10
mr. astley,Mr. Astley,278905,278915,10
mr. astley,Mr. Astley,280294,280304,10
mr. astley,Mr. Astley,283889,283899,10
mr. astley,Mr. Astley,285086,285096,10
mr. astley,Mr. Astley,286324,286334,10
mr. astley,Mr. Astley,301178,301188,10
mr. astley,Mr. Astley,304234,304244,10
mr. astley,Mr. Astley,308235,308245,10
mr. astley,Mr. Astley,310804,310814,10
mr. astley,Mr. Astley,315091,315101,10
mr. astley,Mr. Astley,317254,317264,10
mr. astley,Mr. Astley,319350,319360,10
mr. astley,Mr. Astley,322272,322282,10
mr. astley,Mr. Astley,322847,322857,10
mr. astley,Mr. Astley,323039,323049,10
mr. astley,Mr. Astley,323470,323480,10
mr. astley,Mr. Astley,324432,324442,10
mr. astley,Mr. Astley,326089,326099,10
mr. astley,Mr. Astley,328664,328674,10
grandmamma,Grandmamma,17801,17811,24
grandmamma,Grandmamma,141947,141957,24
grandmamma,Grandmamma,143300,143310,24
grandmamma,Grandmamma,152994,153004,24
grandmamma,Grandmamma,209381,209391,24
grandmamma,Grandmamma,211689,211699,24
grandmamma,Grandmamma,211875,211885,24
grandmamma,Grandmamma,212563,212573,24
grandmamma,Grandmamma,270590,270600,24
grandmamma,Grandmamma,271447,271457,24
the baron,the Baron,73261,73270,14
the baron,the Baron,76347,76356,14
the baron,the Baron,76872,76881,14
the baron,The Baron,77381,77390,14
the baron,the Baron,77628,77637,14
the baron,the Baron,77928,77937,14
the baron,the Baron,78417,78426,14
the baron,the Baron,79139,79148,14
the baron,the Baron,81781,81790,14
the baron,the Baron,84283,84292,14
the baron,the Baron,84759,84768,14
the baron,the Baron,84996,85005,14
the baron,the Baron,85241,85250,14
the baron,the Baron,86350,86359,14
