qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q8-0,"The very worst; I knew him at Nice,","[21076, 21111]",Lawrence Lefferts,"['Mr. Sillerton Jackson', 'Young Thorley']",Explicit,said Lawrence Lefferts,['him'],"[[21099, 21102]]",[['Count Olenski']],X,8,minor,AgeOfInnocence,38,38,1,1,11,21076,21111
Q8-1,"A half-paralysed white sneering fellow--rather handsome head, but eyes with a lot of lashes.  Well, I'll tell you the sort: when he wasn't with women he was collecting china.  Paying any price for both, I understand.","[21154, 21370]",Lawrence Lefferts,"['Mr. Sillerton Jackson', 'Young Thorley']",Explicit,said Lawrence Lefferts,"['you', 'he', 'he']","[[21264, 21267], [21283, 21285], [21304, 21306]]","[['Young Thorley'], ['Count Olenski'], ['Count Olenski']]",X,8,minor,AgeOfInnocence,38,38,1,1,11,21154,21370
Q9-0,"Well, then----?","[21431, 21446]",Young Thorley,"['Lawrence Lefferts', 'Mr. Sillerton Jackson']",Anaphoric,the young champion said,[],[],[],X,9,minor,AgeOfInnocence,39,39,1,1,48,21431,21446
Q10-0,"Well, then; she bolted with his secretary.","[21450, 21492]",Lawrence Lefferts,"['Mr. Sillerton Jackson', 'Young Thorley']",Implicit,,"['she', 'his']","[[21462, 21465], [21478, 21481]]","[['Ellen Olenska'], ['Count Olenski']]",X,10,minor,AgeOfInnocence,40,40,1,1,11,21450,21492
Q11-0,"Oh, I see.","[21496, 21506]",Young Thorley,"['Lawrence Lefferts', 'Mr. Sillerton Jackson']",Implicit,,[],[],[],X,11,minor,AgeOfInnocence,41,41,1,1,48,21496,21506
Q12-0,"It didn't last long, though: I heard of her a few months later living alone in Venice.  I believe Lovell Mingott went out to get her.  He said she was desperately unhappy.  That's all right--but this parading her at the Opera's another thing.","[21537, 21779]",Lawrence Lefferts,"['Mr. Sillerton Jackson', 'Young Thorley']",Implicit,,"['her', 'Lovell Mingott', 'her', 'He', 'she', 'her']","[[21577, 21580], [21635, 21649], [21666, 21669], [21672, 21674], [21680, 21683], [21746, 21749]]","[['Ellen Olenska'], ['Mrs. Lovell Mingott'], ['Ellen Olenska'], ['Count Olenski'], ['Ellen Olenska'], ['Ellen Olenska']]",X,12,minor,AgeOfInnocence,42,42,1,1,11,21537,21779
Q13-0,"Perhaps,","[21783, 21791]",Young Thorley,"['Lawrence Lefferts', 'Mr. Sillerton Jackson']",Explicit,young Thorley hazarded,[],[],[],X,13,minor,AgeOfInnocence,43,43,1,1,48,21783,21791
Q13-1,she's too unhappy to be left at home.,"[21818, 21855]",Young Thorley,"['Lawrence Lefferts', 'Mr. Sillerton Jackson']",Explicit,young Thorley hazarded,['she'],"[[21818, 21821]]",[['Ellen Olenska']],X,13,minor,AgeOfInnocence,43,43,1,1,48,21818,21855
Q14-0,"Oh, that's part of the campaign: Granny's orders, no doubt,","[22148, 22207]",Lawrence Lefferts,"['Mr. Sillerton Jackson', 'Young Thorley']",Explicit,Lefferts laughed,"[""Granny's""]","[[22181, 22189]]",[['Mrs. Manson Mingott']],X,14,minor,AgeOfInnocence,46,46,1,1,11,22148,22207
Q14-1,When the old lady does a thing she does it thoroughly.,"[22229, 22283]",Lawrence Lefferts,"['Mr. Sillerton Jackson', 'Young Thorley']",Explicit,Lefferts laughed,"['the old lady', 'she']","[[22234, 22246], [22260, 22263]]","[['Mrs. Manson Mingott'], ['Old Mrs. Mingott']]",X,14,minor,AgeOfInnocence,46,46,1,1,11,22229,22283
Q15-0,I hope you've told Madame Olenska that we're engaged?  I want everybody to know--I want you to let me announce it this evening at the ball.,"[23814, 23953]",Newland Archer,['Miss Welland'],Anaphoric,he sat down beside his betrothed and said,['we'],"[[23853, 23855]]","[['Miss Welland', 'Newland Archer']]",X,15,major,AgeOfInnocence,49,49,1,1,35,23814,23953
Q16-0,"If you can persuade Mamma,","[24042, 24068]",Miss Welland,['Newland Archer'],Anaphoric,she said,"['you', 'Mamma']","[[24045, 24048], [24062, 24067]]","[['Newland Archer'], ['Mrs. Augusta Welland']]",X,16,major,AgeOfInnocence,50,50,1,1,15,24042,24068
Q16-1,but why should we change what is already settled?,"[24081, 24130]",Miss Welland,['Newland Archer'],Anaphoric,she said,['we'],"[[24096, 24098]]","[['Miss Welland', 'Newland Archer']]",X,16,major,AgeOfInnocence,50,50,1,1,15,24081,24130
Q17-0,Tell my cousin yourself: I give you leave.  She says she used to play with you when you were children.,"[24233, 24335]",Miss Welland,['Newland Archer'],Anaphoric,she added,"['my cousin', 'yourself', 'you', 'She', 'she', 'you', 'you']","[[24238, 24247], [24248, 24256], [24265, 24268], [24277, 24280], [24286, 24289], [24308, 24311], [24317, 24320]]","[['Ellen Olenska'], ['Newland Archer'], ['Newland Archer'], ['Ellen Olenska'], ['Ellen Olenska'], ['Newland Archer'], ['Newland Archer']]",X,17,major,AgeOfInnocence,50,50,1,1,15,24233,24335
Q18-0,"We DID use to play together, didn't we?","[24552, 24591]",Ellen Olenska,['Newland Archer'],Anaphoric,she asked,"['We', 'we']","[[24552, 24554], [24588, 24590]]","[['Newland Archer'], ['Newland Archer']]",X,18,major,AgeOfInnocence,52,52,1,1,6,24552,24591
Q18-1,"You were a horrid boy, and kissed me once behind a door; but it was your cousin Vandie Newland, who never looked at me, that I was in love with.","[24637, 24781]",Ellen Olenska,['Newland Archer'],Anaphoric,she asked,['You'],"[[24637, 24640]]",[['Newland Archer']],X,18,major,AgeOfInnocence,52,52,1,1,6,24637,24781
Q19-0,"Ah, how this brings it all back to me--I see everybody here in knickerbockers and pantalettes,","[24833, 24927]",Ellen Olenska,['Newland Archer'],Anaphoric,she said,[],[],[],X,19,major,AgeOfInnocence,52,52,1,1,6,24833,24927
Q20-0,"Yes, you have been away a very long time.","[25302, 25343]",Newland Archer,['Ellen Olenska'],Anaphoric,he answered,[],[],[],X,20,major,AgeOfInnocence,53,53,1,1,35,25302,25343
Q21-0,"Oh, centuries and centuries; so long,","[25347, 25384]",Ellen Olenska,['Newland Archer'],Anaphoric,she said,[],[],[],X,21,major,AgeOfInnocence,54,54,1,1,6,25347,25384
Q21-1,"that I'm sure I'm dead and buried, and this dear old place is heaven;","[25397, 25466]",Ellen Olenska,['Newland Archer'],Anaphoric,she said,[],[],[],X,21,major,AgeOfInnocence,54,54,1,1,6,25397,25466
Q22-0,We all have our pet common people--,"[26669, 26704]",Mrs. Adeline Archer,['_unknowable'],Explicit,Mrs Archer who was fond of coining her social philosophy into axioms had once said,[],[],[],X,22,major,AgeOfInnocence,59,59,1,1,25,26669,26704
Q23-0,"Now we shan't have to talk,","[34782, 34809]",Newland Archer,['Miss Welland'],Anaphoric,he said,['we'],"[[34786, 34788]]","[['Miss Welland', 'Newland Archer']]",X,23,major,AgeOfInnocence,73,73,1,1,35,34782,34809
Q24-0,"Dear,","[35044, 35049]",Newland Archer,['Miss Welland'],Explicit,Archer whispered,[],[],[],X,24,major,AgeOfInnocence,74,74,1,1,35,35044,35049
Q25-0,"You see I did as you asked me to,","[35516, 35549]",Miss Welland,['Newland Archer'],Anaphoric,she said,"['You', 'you']","[[35516, 35519], [35533, 35536]]","[['Newland Archer'], ['Newland Archer']]",X,25,major,AgeOfInnocence,76,76,1,1,15,35516,35549
Q26-0,"Yes: I couldn't wait,","[35563, 35584]",Newland Archer,['Miss Welland'],Anaphoric,he answered,[],[],[],X,26,major,AgeOfInnocence,77,77,1,1,35,35563,35584
Q27-0,Only I wish it hadn't had to be at a ball.,"[35634, 35676]",Newland Archer,['Miss Welland'],Anaphoric,he added,[],[],[],X,27,major,AgeOfInnocence,77,77,1,1,35,35634,35676
Q28-0,"Yes, I know.","[35680, 35692]",Miss Welland,['Newland Archer'],Implicit,,[],[],[],X,28,major,AgeOfInnocence,78,78,1,1,15,35680,35692
Q29-0,"But after all--even here we're alone together, aren't we?","[35733, 35790]",Miss Welland,['Newland Archer'],Implicit,,"['we', 'we']","[[35758, 35760], [35787, 35789]]","[['Miss Welland', 'Newland Archer'], ['Miss Welland', 'Newland Archer']]",X,29,major,AgeOfInnocence,78,78,1,1,15,35733,35790
Q30-0,"Oh, dearest--always!","[35794, 35814]",Newland Archer,['Miss Welland'],Explicit,Archer cried,[],[],[],X,30,major,AgeOfInnocence,79,79,1,1,35,35794,35814
Q31-0,The worst of it is that I want to kiss you and I can't.,"[35997, 36052]",Newland Archer,['Miss Welland'],Anaphoric,he went on,['you'],"[[36036, 36039]]",[['Miss Welland']],X,31,major,AgeOfInnocence,80,80,1,1,35,35997,36052
Q32-0,Did you tell my cousin Ellen?,"[36486, 36515]",Miss Welland,['Newland Archer'],Anaphoric,she asked,"['you', 'cousin Ellen']","[[36490, 36493], [36502, 36514]]","[['Newland Archer'], ['Ellen Olenska']]",X,32,major,AgeOfInnocence,81,81,1,1,15,36486,36515
Q33-0,"No--I hadn't the chance after all,","[36749, 36783]",Newland Archer,['Miss Welland'],Anaphoric,he said,[],[],[],X,33,major,AgeOfInnocence,83,83,1,1,35,36749,36783
Q34-0,Ah.,"[36813, 36816]",Miss Welland,['Newland Archer'],Implicit,,[],[],[],X,34,major,AgeOfInnocence,84,84,1,1,15,36813,36816
Q35-0,"You must, then, for I didn't either; and I shouldn't like her to think--","[36888, 36960]",Miss Welland,['Newland Archer'],Implicit,,"['You', 'her']","[[36888, 36891], [36946, 36949]]","[['Newland Archer'], ['Ellen Olenska']]",X,35,major,AgeOfInnocence,84,84,1,1,15,36888,36960
Q36-0,"Of course not.  But aren't you, after all, the person to do it?","[36964, 37027]",Newland Archer,['Miss Welland'],Implicit,,['you'],"[[36991, 36994]]",[['Miss Welland']],X,36,major,AgeOfInnocence,85,85,1,1,35,36964,37027
Q37-0,"If I'd done it at the right time, yes: but now that there's been a delay I think you must explain that I'd asked you to tell her at the Opera, before our speaking about it to everybody here.  Otherwise she might think I had forgotten her.  You see, she's one of the family, and she's been away so long that she's rather--sensitive.","[37054, 37385]",Miss Welland,['Newland Archer'],Implicit,,"['you', 'you', 'her', 'she', 'her', 'You', 'she', 'she', 'she']","[[37135, 37138], [37167, 37170], [37179, 37182], [37256, 37259], [37288, 37291], [37294, 37297], [37303, 37306], [37332, 37335], [37361, 37364]]","[['Newland Archer'], ['Newland Archer'], ['Ellen Olenska'], ['Ellen Olenska'], ['Ellen Olenska'], ['Newland Archer'], ['Ellen Olenska'], ['Ellen Olenska'], ['Ellen Olenska']]",X,37,major,AgeOfInnocence,86,86,1,1,15,37054,37385
Q38-0,Dear and great angel!  Of course I'll tell her.,"[37422, 37469]",Newland Archer,['Miss Welland'],Implicit,,['her'],"[[37465, 37468]]",[['Ellen Olenska']],X,38,major,AgeOfInnocence,87,87,1,1,35,37422,37469
Q39-0,But I haven't seen her yet.  Has she come?,"[37539, 37581]",Newland Archer,['Miss Welland'],Implicit,,"['her', 'she']","[[37558, 37561], [37572, 37575]]","[['Ellen Olenska'], ['Ellen Olenska']]",X,39,major,AgeOfInnocence,87,87,1,1,35,37539,37581
Q40-0,No; at the last minute she decided not to.,"[37585, 37627]",Miss Welland,['Newland Archer'],Implicit,,['she'],"[[37608, 37611]]",[['Ellen Olenska']],X,40,major,AgeOfInnocence,88,88,1,1,15,37585,37627
Q41-0,At the last minute?,"[37631, 37650]",Newland Archer,['Miss Welland'],Anaphoric,he echoed,[],[],[],X,41,major,AgeOfInnocence,89,89,1,1,35,37631,37650
Q42-0,"Yes.  She's awfully fond of dancing,","[37751, 37787]",Miss Welland,['Newland Archer'],Anaphoric,the young girl answered,['She'],"[[37757, 37760]]",[['Ellen Olenska']],X,42,major,AgeOfInnocence,90,90,1,1,15,37751,37787
Q42-1,"But suddenly she made up her mind that her dress wasn't smart enough for a ball, though we thought it so lovely; and so my aunt had to take her home.","[37822, 37971]",Miss Welland,['Newland Archer'],Anaphoric,the young girl answered,"['she', 'her', 'her', 'we', 'my aunt', 'her']","[[37835, 37838], [37847, 37850], [37861, 37864], [37910, 37912], [37942, 37949], [37962, 37965]]","[['Ellen Olenska'], ['Ellen Olenska'], ['Ellen Olenska'], ['May Wellend', 'Mrs. Lovell Mingott'], ['Mrs. Lovell Mingott'], ['Ellen Olenska']]",X,42,major,AgeOfInnocence,90,90,1,1,15,37822,37971
Q43-0,"Oh, well--","[37975, 37985]",Newland Archer,['Miss Welland'],Explicit,said Archer,[],[],[],X,43,major,AgeOfInnocence,91,91,1,1,35,37975,37985
Q44-0,"She knows as well as I do,","[38214, 38240]",Newland Archer,[],Anaphoric,he reflected,[],[],[],X,44,major,AgeOfInnocence,92,92,1,1,35,38214,38240
Q44-1,the real reason of her cousin's staying away; but I shall never let her see by the least sign that I am conscious of there being a shadow of a shade on poor Ellen Olenska's reputation.,"[38257, 38441]",Newland Archer,[],Anaphoric,he reflected,"['her cousin', 'her', 'Ellen Olenska']","[[38276, 38286], [38325, 38328], [38414, 38427]]","[['Ellen Olenska'], ['Ellen Olenska'], ['Ellen Olenska']]",X,44,major,AgeOfInnocence,92,92,1,1,35,38257,38441
Q45-0,"Old-fashioned eyes?  I hope you don't mean mine, my dear?  I like all the novelties,","[43653, 43737]",Mrs. Manson Mingott,"['Miss Welland', 'Newland Archer']",Anaphoric,said the ancestress,['you'],"[[43681, 43684]]",[['Mrs. Welland']],X,45,major,AgeOfInnocence,101,101,1,1,36,43653,43737
Q46-0,"Very handsome,","[43844, 43858]",Mrs. Manson Mingott,"['Miss Welland', 'Newland Archer']",Anaphoric,she added,[],[],[],X,46,major,AgeOfInnocence,101,101,1,1,36,43844,43858
Q46-1,"very liberal.  In my time a cameo set in pearls was thought sufficient.  But it's the hand that sets off the ring, isn't it, my dear Mr. Archer?","[43893, 44037]",Mrs. Manson Mingott,"['Miss Welland', 'Newland Archer']",Anaphoric,she added,['Mr. Archer'],"[[44026, 44036]]",[['Newland Archer']],X,46,major,AgeOfInnocence,101,101,1,1,36,43893,44037
Q47-0,"Mine was modelled in Rome by the great Ferrigiani.  You should have May's done: no doubt he'll have it done, my child.  Her hand is large--it's these modern sports that spread the joints--but the skin is white.--And when's the wedding to be?","[44168, 44409]",Mrs. Manson Mingott,"['Miss Welland', 'Newland Archer']",Anaphoric,she broke off,"['You', ""May's"", 'he', 'my child', 'Her']","[[44220, 44223], [44236, 44241], [44257, 44259], [44277, 44285], [44288, 44291]]","[['Mrs. Welland'], ['Miss Welland'], ['Newland Archer'], ['Newland Archer'], ['Miss Welland']]",X,47,major,AgeOfInnocence,101,101,1,1,36,44168,44409
Q48-0,"As soon as ever it can, if only you'll back me up, Mrs. Mingott.","[44549, 44613]",Newland Archer,"['Miss Welland', 'Mrs. Manson Mingott']",Anaphoric,the young man smiling at his betrothed replied,"['you', 'Mrs. Mingott']","[[44581, 44584], [44600, 44612]]","[['Mrs. Manson Mingott'], ['Mrs. Manson Mingott']]",X,48,major,AgeOfInnocence,102,102,1,1,35,44549,44613
Q49-0,"Know each other? Fiddlesticks!  Everybody in New York has always known everybody.  Let the young man have his way, my dear; don't wait till the bubble's off the wine.  Marry them before Lent; I may catch pneumonia any winter now, and I want to give the wedding-breakfast.","[44795, 45066]",Mrs. Manson Mingott,"['Miss Welland', 'Newland Archer']",Anaphoric,the ancestress rejoined,"['the young man', 'his', 'them']","[[44882, 44895], [44901, 44904], [44969, 44973]]","[['Newland Archer'], ['Newland Archer'], ['Newland Archer', 'Ellen Olenska']]",X,49,major,AgeOfInnocence,103,103,1,1,36,44795,45066
Q50-0,"Ha!  Beaufort, this is a rare favour!","[45501, 45538]",Mrs. Manson Mingott,"['Miss Welland', 'Newland Archer', 'Julius Beaufort']",Implicit,,['Beaufort'],"[[45506, 45514]]",[['Julius Beaufort']],X,50,major,AgeOfInnocence,105,105,1,1,36,45501,45538
Q51-0,"Thanks.  I wish it might happen oftener,","[45608, 45648]",Julius Beaufort,"['Miss Welland', 'Newland Archer', 'Mrs. Manson Mingott']",Anaphoric,said the visitor,[],[],[],X,51,minor,AgeOfInnocence,106,106,1,1,10,45608,45648
Q51-1,"I'm generally so tied down; but I met the Countess Ellen in Madison Square, and she was good enough to let me walk home with her.","[45695, 45824]",Julius Beaufort,"['Miss Welland', 'Newland Archer', 'Mrs. Manson Mingott']",Anaphoric,said the visitor,"['Countess Ellen', 'she', 'her']","[[45737, 45751], [45775, 45778], [45820, 45823]]","[['Ellen Olenska'], ['Ellen Olenska'], ['Ellen Olenska']]",X,51,minor,AgeOfInnocence,106,106,1,1,10,45695,45824
Q52-0,"Ah--I hope the house will be gayer, now that Ellen's here!","[45828, 45886]",Mrs. Manson Mingott,"['Miss Welland', 'Newland Archer', 'Julius Beaufort']",Explicit,cried Mrs Mingott,['Ellen'],"[[45873, 45878]]",[['Ellen Olenska']],X,52,major,AgeOfInnocence,107,107,1,1,36,45828,45886
Q52-1,"Sit down--sit down, Beaufort: push up the yellow armchair; now I've got you I want a good gossip.  I hear your ball was magnificent; and I understand you invited Mrs. Lemuel Struthers?  Well--I've a curiosity to see the woman myself.","[45937, 46170]",Mrs. Manson Mingott,"['Miss Welland', 'Newland Archer', 'Julius Beaufort']",Explicit,cried Mrs Mingott,"['Beaufort', 'Struthers']","[[45957, 45965], [46111, 46120]]","[['Julius Beaufort'], ['Mrs. Struthers']]",X,52,major,AgeOfInnocence,107,107,1,1,36,45937,46170
Q53-0,"Of course if you and Regina invite her the thing is settled.  Well, we need new blood and new money--and I hear she's still very good-looking,","[46753, 46895]",Mrs. Manson Mingott,['Julius Beaufort'],Anaphoric,the carnivorous old lady declared,"['Regina', 'her', 'we', 'she']","[[46774, 46780], [46788, 46791], [46821, 46823], [46865, 46868]]","[['Regina'], ['Mrs. Struthers'], ['Mrs. Lovell Mingott', 'Old Mrs. Mingott'], ['Mrs. Struthers']]",X,53,major,AgeOfInnocence,108,108,1,1,36,46753,46895
Q54-0,"Of course you know already--about May and me,","[47085, 47130]",Newland Archer,['Ellen Olenska'],Anaphoric,he said,['May '],"[[47119, 47123]]",[['Miss Welland']],X,54,major,AgeOfInnocence,110,110,1,1,35,47085,47130
Q54-1,"She scolded me for not giving you the news last night at the Opera: I had her orders to tell you that we were engaged--but I couldn't, in that crowd.","[47180, 47329]",Newland Archer,['Ellen Olenska'],Anaphoric,he said,"['She', 'her', 'we']","[[47180, 47183], [47254, 47257], [47282, 47284]]","[['Miss Welland'], ['Miss Welland'], ['Newland Archer']]",X,54,major,AgeOfInnocence,110,110,1,1,35,47180,47329
Q55-0,Of course I know; yes.  And I'm so glad.  But one doesn't tell such things first in a crowd.,"[47468, 47560]",Ellen Olenska,['Newland Archer'],Implicit,,[],[],[],X,55,major,AgeOfInnocence,111,111,1,1,6,47468,47560
Q56-0,"Good-bye; come and see me some day,","[47625, 47660]",Ellen Olenska,['Newland Archer'],Anaphoric,she said,[],[],[],X,56,major,AgeOfInnocence,112,112,1,1,6,47625,47660
Q57-0,And she ought to know that a man who's just engaged doesn't spend his time calling on married women.  But I daresay in the set she's lived in they do--they never do anything else.,"[48107, 48286]",Newland Archer,[],Anaphoric,the young man himself mentally added,"['she', 'his', 'she']","[[48111, 48114], [48173, 48176], [48234, 48237]]","[['Ellen Olenska'], ['Julius Beaufort'], ['Ellen Olenska']]",X,57,major,AgeOfInnocence,113,113,1,1,35,48107,48286
Q58-0,"It's a pity the Beauforts asked her,","[53919, 53955]",Mrs. Adeline Archer,"['Newland Archer', 'Janey Archer', 'Mr. Sillerton Jackson']",Explicit,Mrs Archer said,"['the Beauforts', 'her']","[[53931, 53944], [53951, 53954]]","[['Mrs. Beaufort', 'Julius Beaufort'], ['Mrs. Struthers']]",X,58,major,AgeOfInnocence,126,126,1,1,25,53919,53955
Q58-1,But then Regina always does what he tells her; and BEAUFORT--,"[53984, 54045]",Mrs. Adeline Archer,"['Newland Archer', 'Janey Archer', 'Mr. Sillerton Jackson']",Explicit,Mrs Archer said,"['Regina', 'he', 'her', 'BEAUFORT']","[[53993, 53999], [54017, 54019], [54026, 54029], [54035, 54043]]","[['Regina'], ['Julius Beaufort'], ['Regina'], ['Julius Beaufort']]",X,58,major,AgeOfInnocence,126,126,1,1,25,53984,54045
Q59-0,"Certain nuances escape Beaufort,","[54049, 54081]",Mr. Sillerton Jackson,"['Newland Archer', 'Janey Archer', 'Mrs. Adeline Archer']",Explicit,said Mr Jackson,['Beaufort'],"[[54072, 54080]]",[['Julius Beaufort']],X,59,minor,AgeOfInnocence,127,127,1,1,22,54049,54081
Q60-0,"Oh, necessarily; Beaufort is a vulgar man,","[54361, 54403]",Mrs. Adeline Archer,"['Newland Archer', 'Janey Archer', 'Mr. Sillerton Jackson']",Explicit,said Mrs Archer,['Beaufort'],"[[54378, 54386]]",[['Julius Beaufort']],X,60,major,AgeOfInnocence,128,128,1,1,25,54361,54403
Q60-1,My grandfather Newland always used to say to my mother:,"[54425, 54480]",Mrs. Adeline Archer,"['Newland Archer', 'Janey Archer', 'Mr. Sillerton Jackson']",Explicit,said Mrs Archer,[],[],[],X,60,major,AgeOfInnocence,128,128,1,1,25,54425,54480
Q60-2,"But at least he's had the advantage of associating with gentlemen; in England too, they say.  It's all very mysterious--","[54561, 54681]",Mrs. Adeline Archer,"['Newland Archer', 'Janey Archer', 'Mr. Sillerton Jackson']",Explicit,said Mrs Archer,['he'],"[[54574, 54576]]",[['Julius Beaufort']],X,60,major,AgeOfInnocence,128,128,1,1,25,54561,54681
Q61-0,"But this Mrs. Struthers,","[54868, 54892]",Mrs. Adeline Archer,"['Newland Archer', 'Janey Archer', 'Mr. Sillerton Jackson']",Explicit,Mrs Archer continued,['Mrs. Struthers'],"[[54877, 54891]]",[['Mrs. Struthers']],X,61,major,AgeOfInnocence,129,129,1,1,25,54868,54892
Q61-1,"what did you say SHE was, Sillerton?","[54918, 54954]",Mrs. Adeline Archer,"['Newland Archer', 'Janey Archer', 'Mr. Sillerton Jackson']",Explicit,Mrs Archer continued,"['you', 'SHE', 'Sillerton']","[[54927, 54930], [54935, 54938], [54944, 54953]]","[['Mr. Sillerton Jackson'], ['Mrs. Struthers'], ['Mr. Jackson']]",X,61,major,AgeOfInnocence,129,129,1,1,25,54918,54954
Q62-0,"Out of a mine: or rather out of the saloon at the head of the pit. Then with Living Wax-Works, touring New England.  After the police broke THAT up, they say she lived--","[54958, 55127]",Mr. Sillerton Jackson,"['Newland Archer', 'Janey Archer', 'Mrs. Adeline Archer']",Implicit,,['she'],"[[55116, 55119]]",[['Mrs. Struthers']],X,62,minor,AgeOfInnocence,130,130,1,1,22,54958,55127
Q63-0,"Then,","[55291, 55296]",Mr. Sillerton Jackson,"['Newland Archer', 'Janey Archer', 'Mrs. Adeline Archer']",Explicit,Mr Jackson continued,[],[],[],X,63,minor,AgeOfInnocence,131,131,1,1,22,55291,55296
Q63-1,"then Lemuel Struthers came along.  They say his advertiser used the girl's head for the shoe-polish posters; her hair's intensely black, you know--the Egyptian style.  Anyhow, he--eventually--married her.","[55431, 55635]",Mr. Sillerton Jackson,"['Newland Archer', 'Janey Archer', 'Mrs. Adeline Archer']",Explicit,Mr Jackson continued,"['Lemuel Struthers', 'his', 'her', 'he', 'her']","[[55436, 55452], [55475, 55478], [55540, 55543], [55607, 55609], [55631, 55634]]","[['Mrs. Lemuel Struthers'], ['Mrs. Lemuel Struthers'], ['Mrs. Struthers'], ['Mrs. Lemuel Struthers'], ['Mrs. Struthers']]",X,63,minor,AgeOfInnocence,131,131,1,1,22,55431,55635
Q64-0,"Oh, well--at the pass we've come to nowadays, it doesn't matter,","[55750, 55814]",Mrs. Adeline Archer,"['Newland Archer', 'Janey Archer', 'Mr. Sillerton Jackson']",Explicit,said Mrs Archer,['we'],"[[55772, 55774]]","[['Newland Archer', 'Mr. Sillerton Jackson', 'Janey Archer', 'Mrs. Adeline Archer']]",X,64,major,AgeOfInnocence,132,132,1,1,25,55750,55814
Q65-0,And Newland's new cousin--Countess Olenska?  Was SHE at the ball too?,"[56099, 56168]",Mrs. Adeline Archer,"['Newland Archer', 'Janey Archer', 'Mr. Sillerton Jackson']",Anaphoric,she might presently be able to say,"['Newland', 'Countess Olenska', 'SHE ']","[[56103, 56110], [56125, 56141], [56148, 56152]]","[['Newland Archer'], ['Ellen Olenska'], ['Ellen Olenska']]",X,65,major,AgeOfInnocence,132,132,1,1,25,56099,56168
Q66-0,"Especially after that silly business with Mrs. Rushworth,","[56395, 56452]",Mrs. Adeline Archer,['Janey Archer'],Anaphoric,she had remarked to Janey,[],[],[],X,66,major,AgeOfInnocence,133,133,1,1,25,56395,56452
Q67-0,"It's not that I don't approve of the Mingotts' esprit de corps; but why Newland's engagement should be mixed up with that Olenska woman's comings and goings I don't see,","[57287, 57456]",Mrs. Adeline Archer,['Janey Archer'],Explicit,Mrs Archer grumbled to Janey,"['Mingotts', 'Newland', 'that Olenska woman']","[[57324, 57332], [57359, 57366], [57404, 57422]]","[['Mrs. Manson Mingott', 'Mrs. Welland'], ['Newland Archer'], ['Ellen Olenska']]",X,67,major,AgeOfInnocence,135,135,1,1,25,57287,57456
